line_id,file_name,prob_output,accurate
89,K1TEST1participant_lock.wav,"{""chick"": 0.0, ""sick"": 0.0, ""rock"": 0.0, ""lock"": 1.00000000000004, ""loch"": 0.0, ""locke"": 1.999999994411214e-15}",1
90,K1zz017participant_wing.wav,"{""wing"": 1.00000000000004, ""ring"": 0.0, ""sun"": 0.0, ""thumb"": 0.0}",1
91,K1so095participant_one.wav,"{""chip"": 0.0, ""ship"": 0.0, ""run"": 0.0, ""one"": 1.00000000000004, ""won"": 0.0}",1
92,K1dd105participant_chick.wav,"{""chick"": 0.0012927740502383784, ""sick"": 0.0, ""rock"": 0.0005323994763130861, ""lock"": 0.0}",1
93,K1so068participant_window.wav,"{""window"": 1.00000000000004, ""fox"": 0.0, ""socks"": 0.0, ""rainbow"": 0.0}",1
94,K1lt141participant_zoo.wav,"{""ramp"": 0.0, ""shoe"": 0.0006337253245598776, ""zoo"": 0.001620580063444288, ""lamp"": 0.0}",1
95,K1lm081participant_red.wav,"{""fan"": 0.0, ""sand"": 0.0, ""red"": 1.00000000000004, ""leg"": 0.0}",1
96,K1dd114participant_zoo.wav,"{""ramp"": 0.0, ""shoe"": 0.0, ""zoo"": 1.8683103334073465e-11, ""lamp"": 0.0}",0
97,K1dd052participant_sun.wav,"{""thumb"": 0.0004592854253983276, ""sun"": 0.0004842444377632078, ""ring"": 0.0, ""wing"": 0.0, ""son"": 0.0043230025069169115}",1
98,K1lt112participant_ramp.wav,"{""ramp"": 1.0000000001360572, ""shoe"": 0.0, ""zoo"": 0.0, ""lamp"": 0.0}",1
99,K1dd044participant_sick.wav,"{""chick"": 0.0, ""sick"": 1.00000000000004, ""rock"": 0.0, ""lock"": 0.0}",1
100,K1dd021participant_fox.wav,"{""window"": 0.0, ""fox"": 0.0, ""socks"": 0.0, ""rainbow"": 0.0, ""sox"": 0.0}",0
101,K1pv058participant_sand.wav,"{""fan"": 0.0009522642374371962, ""sand"": 0.0009285269178351124, ""red"": 0.0009285122217691836, ""leg"": 0.0004542962083881784}",0
102,K1cc023participant_sun.wav,"{""thumb"": 0.0, ""sun"": 1.00000000000004, ""ring"": 0.0, ""wing"": 0.0, ""son"": 0.0}",1
103,K1lm045participant_window.wav,"{""window"": 0.0033715196902783535, ""fox"": 0.0, ""socks"": 0.0, ""rainbow"": 0.0}",1
104,K1lm026participant_chick.wav,"{""chick"": 1.0000000000254374, ""sick"": 3.365998403938189e-14, ""rock"": 1.2954118086270672e-14, ""lock"": 0.0}",1
105,K1cb103participant_chick.wav,"{""chick"": 1.00000000000004, ""sick"": 0.0, ""rock"": 0.0, ""lock"": 0.0}",1
